optimizer_updates,r2_theta1,r2_theta2
27400,0.551637803044492,0.6158275572613474
27500,0.5719206619865402,0.6318577314996161
27600,0.6175167469736532,0.6359181773398799
27700,0.6521346589665076,0.6495488977079729
27800,0.6822950767872094,0.665704044141713
27900,0.7048733094264636,0.6798090437692155
28000,0.7217401013115694,0.692785671969528
28100,0.7359248855120228,0.6863911812682264
28200,0.7451743420396356,0.6780904930522746
28300,0.7465560433580105,0.6451365632419663
28400,0.742835835638078,0.6236852942090104
28500,0.7196738267441631,0.5900698146353791
28600,0.7006906829845101,0.5814073179249621
28700,0.6603412372364204,0.56884387047567
28800,0.6494632516268568,0.575414037068064
28900,0.6424796053944299,0.5874066752101037
29000,0.6704105917028829,0.6197424227292383
29100,0.688173380873697,0.6455617933116029
29200,0.7133329259911885,0.67962255919028
29300,0.7262651690821061,0.7052171108577561
29400,0.7307966038600738,0.7285528000940578
29500,0.7082262551973812,0.7307411457489221
29600,0.6839939171395295,0.7304389475330186
29700,0.65995158402693,0.7232566531574858
29800,0.651029326631757,0.7141887026363936
29900,0.6585570834673548,0.7210168618978523
30000,0.6677362576841223,0.7250959981668581
30100,0.6869959681693047,0.7498308709946101
30200,0.6964522585641265,0.7610101165369778
30300,0.7215125708029334,0.7867933702276024
30400,0.7340613494780512,0.7953647988590367
30500,0.7499688386560572,0.8094288308360227
30600,0.7689190563421879,0.8184840310276362
30700,0.7934664522404001,0.8271399088284006
30800,0.810234675258211,0.8283904427692116
30900,0.8247188112274716,0.8252555271370111
31000,0.8285654539737448,0.8202333783096479
31100,0.8195573110322159,0.8098670416926328
31200,0.8026945399716127,0.8021083506988362
31300,0.7705008067950143,0.7879578240170488
31400,0.7455419969062527,0.7816276018599678
31500,0.7139308793953151,0.7659129622013218
31600,0.7193322662992897,0.7679132130877199
31700,0.7666338157791076,0.7810691915198157
31800,0.8072455832299387,0.8140996350837271
31900,0.833758547821864,0.8376826313365288
32000,0.8689985393811472,0.8726590914640324
32100,0.8977675423755235,0.8997240371498345
32200,0.9124344551499068,0.9149054616284461
32300,0.9250584471111634,0.9272006294490648
32400,0.9354483777239971,0.9373141623142632
32500,0.9438072217226878,0.9454722926556091
32600,0.9503600802083234,0.9518616934905393
32700,0.9553744077959159,0.9567246436710611
32800,0.959189485230449,0.9603812809464402
32900,0.9619662993266233,0.963046057904866
33000,0.962759685214967,0.9636701437924604
33100,0.9638809071695921,0.9648331984000267
33200,0.9647909742568184,0.9657233106419147
33300,0.96560967740384,0.9665202734001391
33400,0.9663232440488105,0.9672128449784003
33500,0.9669197234126483,0.9677902459343035
33600,0.9674397662092143,0.9682913950576639
33700,0.9679102363882163,0.9687423122543141
33800,0.968332441747653,0.9691523798052714
33900,0.968714010624711,0.9695271037838631
34000,0.969073589018616,0.9698452517430677
34100,0.9695508293136365,0.9703711965689086
34200,0.9699412098027687,0.9706628837101609
34300,0.970194079804271,0.9710615253175803
34400,0.9703219872735237,0.9710844985383645
34500,0.9704504644317914,0.9712081854485788
34600,0.97058375469766,0.9713355629730345
34700,0.9707265964772954,0.9714725026909994
34800,0.9708802158298224,0.97162077152606
34900,0.9710255377707412,0.9717739986548991
35000,0.9711690174644184,0.9719390155756046
35100,0.9712342439035825,0.9720036192966243
35200,0.9708884578313767,0.9717680868204882
35300,0.9713539375574083,0.9718940730992816
35400,0.9712667689276775,0.9719990633441592
35500,0.971449578221003,0.9721700845969753
35600,0.9716152181877982,0.9723265250295597
35700,0.97176251174366,0.9724677680740098
35800,0.9718938950042216,0.9725960712248821
35900,0.9720280532338637,0.9727305547215646
36000,0.9721506597927055,0.9728459704786513
36100,0.9722678983215097,0.9729535172630981
36200,0.972377482560717,0.973077703588064
36300,0.9724915796650121,0.973177403965064
36400,0.9726166142182195,0.973283536807313
36500,0.9727144316651124,0.9733796891642926
36600,0.972810484552681,0.9734988195323715
36700,0.972798856738572,0.9734421169751483
36800,0.9728964120004602,0.9735314607568799
36900,0.972995338331087,0.9736267233170685
37000,0.9731092224262587,0.9737365174650399
37100,0.9732365400596683,0.9738553914267397
37200,0.9733443040328462,0.9739641988552918
37300,0.9734692318291898,0.9740561122368508
37400,0.9735853606480173,0.9741775310120051
37500,0.9735187321403483,0.9742689348399869
37600,0.9735280697360018,0.97413973512669
37700,0.9737276062468616,0.9742275580523917
37800,0.9734404378184862,0.9741854029480344
37900,0.9736223083900589,0.9742454470254748
38000,0.9737401157004303,0.9743560397054211
38100,0.9738521071918413,0.9744607545229865
38200,0.9739660185198744,0.9745675780350804
38300,0.9740589238831018,0.9746601833142864
38400,0.9741600926227202,0.9747524321572771
38500,0.9742693774136383,0.9748512039168691
38600,0.9743820774861952,0.9749466682404884
38700,0.9744820936666332,0.975024232507459
38800,0.9745548929829538,0.9750806155545291
38900,0.9746113056311654,0.9751184260392285
39000,0.9746410271713195,0.9751126792001076
39100,0.9744623192084283,0.9751581877672333
39200,0.9745299411662358,0.9750759897710789
39300,0.9746632542227512,0.9752021440516467
39400,0.9747710005382397,0.9752989355465334
39500,0.9748641933229681,0.9753756912092214
39600,0.9749533182661037,0.9754651950747539
39700,0.9750524203965546,0.9755615494786067
39800,0.9751816562466725,0.9756761942618986
39900,0.9748109817633535,0.9756668627385524
40000,0.9751145425844995,0.975682883737036
40100,0.9752236270064328,0.9757842339928198
