# Time(s) Theta1(rad) Theta2(rad)
2.290000000000000036e+00 -4.146654165578653184e-01 1.932508370849027046e-01
2.300000000000000266e+00 -4.058368639268667977e-01 1.014509426981009682e-01
2.310000000000000053e+00 -3.928251780445430330e-01 5.838919463883749696e-03
2.319999999999999840e+00 -3.758965046298584078e-01 -9.346870507783115734e-02
2.330000000000000071e+00 -3.556835852465328740e-01 -1.959237346230730814e-01
2.339999999999999858e+00 -3.332736954567471765e-01 -3.004170691712109709e-01
2.350000000000000089e+00 -3.101357324971818485e-01 -4.053567900062584606e-01
2.359999999999999876e+00 -2.878393145141965315e-01 -5.090203253626002233e-01
2.370000000000000107e+00 -2.677082925756610332e-01 -6.099943706893485862e-01
2.379999999999999893e+00 -2.506231829688899126e-01 -7.074190108842590696e-01
2.390000000000000124e+00 -2.370312651462578302e-01 -8.009609221997816553e-01
2.399999999999999911e+00 -2.270672793614080531e-01 -8.906471035945617842e-01
2.410000000000000142e+00 -2.206809319111957268e-01 -9.766962359488379208e-01
2.419999999999999929e+00 -2.177282902750802829e-01 -1.059401823045640345e+00
2.430000000000000160e+00 -2.180259296364373267e-01 -1.139066038224156419e+00
2.439999999999999947e+00 -2.213792875225148726e-01 -1.215967609762936386e+00
2.450000000000000178e+00 -2.275959088611111680e-01 -1.290349023852227939e+00
2.459999999999999964e+00 -2.364906366189006015e-01 -1.362413635652890864e+00
2.470000000000000195e+00 -2.478868209632590636e-01 -1.432327431543686913e+00
2.479999999999999982e+00 -2.616157386053082345e-01 -1.500222727041557347e+00
2.490000000000000213e+00 -2.775153575548283125e-01 -1.566202467586466751e+00
2.500000000000000000e+00 -2.954290056503160455e-01 -1.630344524694430808e+00
2.510000000000000231e+00 -3.152042032077626010e-01 -1.692705733316775651e+00
2.520000000000000018e+00 -3.366917651922944899e-01 -1.753325584267551251e+00
2.530000000000000249e+00 -3.597451975936014068e-01 -1.812229560633407122e+00
2.540000000000000036e+00 -3.842203722829592993e-01 -1.869432135785763949e+00
2.550000000000000266e+00 -4.099754459009348762e-01 -1.924939456953236983e+00
2.560000000000000053e+00 -4.368709784624752457e-01 -1.978751737236314145e+00
2.569999999999999840e+00 -4.647702063339306799e-01 -2.030865373806913787e+00
2.580000000000000071e+00 -4.935394240200771110e-01 -2.081274806817685175e+00
2.589999999999999858e+00 -5.230484326874438317e-01 -2.129974129455390663e+00
2.600000000000000089e+00 -5.531710178186872717e-01 -2.176958458903833105e+00
2.609999999999999876e+00 -5.837854235872476094e-01 -2.222225077367205870e+00
2.620000000000000107e+00 -6.147747978483109055e-01 -2.265774353720592771e+00
2.629999999999999893e+00 -6.460275842669647162e-01 -2.307610457038697493e+00
2.640000000000000124e+00 -6.774378522031223593e-01 -2.347741877210784534e+00
2.649999999999999911e+00 -7.089055474501826382e-01 -2.386181766754241540e+00
2.660000000000000142e+00 -7.403366650717279063e-01 -2.422948123196347225e+00
2.669999999999999929e+00 -7.716433404520520734e-01 -2.458063829161426739e+00
2.680000000000000160e+00 -8.027438601577271404e-01 -2.491556569453460490e+00
2.689999999999999947e+00 -8.335626012322180367e-01 -2.523458645757381547e+00
2.700000000000000178e+00 -8.640299048303170526e-01 -2.553806707003201559e+00
2.709999999999999964e+00 -8.940818911056727103e-01 -2.582641413509902062e+00
2.720000000000000195e+00 -9.236602273810732289e-01 -2.610007052710456854e+00
2.729999999999999982e+00 -9.527118581895704930e-01 -2.635951120698325489e+00
2.740000000000000213e+00 -9.811887059078024942e-01 -2.660523883862644379e+00
2.750000000000000000e+00 -1.009047352008350718e+00 -2.683777932772694719e+00
2.760000000000000231e+00 -1.036248706700613642e+00 -2.705767737329252576e+00
2.770000000000000018e+00 -1.062757673932249514e+00 -2.726549211420558727e+00
2.780000000000000249e+00 -1.088542818633638332e+00 -2.746179294177323094e+00
2.790000000000000036e+00 -1.113576042714228720e+00 -2.764715554427145783e+00
2.800000000000000266e+00 -1.137832269744875058e+00 -2.782215813487360023e+00
2.810000000000000053e+00 -1.161289148727793208e+00 -2.798737801519416202e+00
2.819999999999999840e+00 -1.183926772604962041e+00 -2.814338836459467696e+00
2.830000000000000071e+00 -1.205727418194779688e+00 -2.829075533141713450e+00
2.839999999999999858e+00 -1.226675306771711327e+00 -2.843003539335165808e+00
2.850000000000000089e+00 -1.246756384201093582e+00 -2.856177296883631200e+00
2.859999999999999876e+00 -1.265958124612626801e+00 -2.868649829894925229e+00
2.870000000000000107e+00 -1.284269352650427853e+00 -2.880472553964759097e+00
2.879999999999999893e+00 -1.301680086558868243e+00 -2.891695108273687698e+00
2.890000000000000124e+00 -1.318181400076472443e+00 -2.902365206844082390e+00
2.899999999999999911e+00 -1.333765300865171088e+00 -2.912528507175507375e+00
2.910000000000000142e+00 -1.348424625998541959e+00 -2.922228495350694288e+00
2.919999999999999929e+00 -1.362152950998374967e+00 -2.931506384905290918e+00
2.930000000000000160e+00 -1.374944512011598841e+00 -2.940401028670132533e+00
2.939999999999999947e+00 -1.386794139147599969e+00 -2.948948841504186902e+00
2.950000000000000178e+00 -1.397697199117858391e+00 -2.957183733344294740e+00
2.959999999999999964e+00 -1.407649546050513401e+00 -2.965137050792494122e+00
2.970000000000000195e+00 -1.416647478484232003e+00 -2.972837526191609570e+00
2.979999999999999982e+00 -1.424687701483573488e+00 -2.980311234409502852e+00
2.990000000000000213e+00 -1.431767291984475499e+00 -2.987581554899838565e+00
3.000000000000000000e+00 -1.437883667120642528e+00 -2.994669139800190116e+00
3.010000000000000231e+00 -1.443034552916238278e+00 -3.001591886096346418e+00
3.020000000000000018e+00 -1.447217953982632643e+00 -3.008364912845165495e+00
3.030000000000000249e+00 -1.450432121418062881e+00 -3.015000541132381695e+00
3.040000000000000036e+00 -1.452675520664840514e+00 -3.021508277937476894e+00
3.050000000000000266e+00 -1.453946795590900454e+00 -3.027894801898591393e+00
3.060000000000000053e+00 -1.454244731737946106e+00 -3.034163951673481741e+00
3.070000000000000284e+00 -1.453568214857575924e+00 -3.040316715405288139e+00
3.080000000000000071e+00 -1.451916188225508053e+00 -3.046351221335961146e+00
3.089999999999999858e+00 -1.449287604927084638e+00 -3.052262728731520269e+00
3.100000000000000089e+00 -1.445681378824433372e+00 -3.058043618562276578e+00
3.109999999999999876e+00 -1.441096331580595358e+00 -3.063683383450469755e+00
3.120000000000000107e+00 -1.435531137495753340e+00 -3.069168616212707423e+00
3.129999999999999893e+00 -1.428984263987455261e+00 -3.074482996651618283e+00
3.140000000000000124e+00 -1.421453918618249768e+00 -3.079607275713435399e+00
3.149999999999999911e+00 -1.412937984460512775e+00 -3.084519256730450465e+00
3.160000000000000142e+00 -1.403433963228885917e+00 -3.089193774183942587e+00
3.169999999999999929e+00 -1.392938920716854323e+00 -3.093602669154805085e+00
3.180000000000000160e+00 -1.381449429287820774e+00 -3.097714761272732265e+00
3.189999999999999947e+00 -1.368961515926696570e+00 -3.101495817930187027e+00
3.200000000000000178e+00 -1.355470618900839197e+00 -3.104908521255249632e+00
3.209999999999999964e+00 -1.340971550851786986e+00 -3.107912433409710129e+00
3.220000000000000195e+00 -1.325458468476836682e+00 -3.110463962220737955e+00
3.229999999999999982e+00 -1.308924855174347979e+00 -3.112516328407458843e+00
3.240000000000000213e+00 -1.291363517864990929e+00 -3.114019535838280728e+00
3.250000000000000000e+00 -1.272766599697981560e+00 -3.114920348286084995e+00
3.260000000000000231e+00 -1.253125611777318182e+00 -3.115162276770207406e+00
3.270000000000000018e+00 -1.232431487498650613e+00 -3.114685579958357486e+00
3.280000000000000249e+00 -1.210674662520546896e+00 -3.113427282847175626e+00
3.290000000000000036e+00 -1.187845184042743973e+00 -3.111321218536305722e+00
3.300000000000000266e+00 -1.163932853151479430e+00 -3.108298099968386019e+00
3.310000000000000053e+00 -1.138927404215267503e+00 -3.104285626478838100e+00
3.320000000000000284e+00 -1.112818724746066135e+00 -3.099208633211194108e+00
3.330000000000000071e+00 -1.085597120464302234e+00 -3.092989289699624944e+00
3.339999999999999858e+00 -1.057253627500868154e+00 -3.085547354415291377e+00
3.350000000000000089e+00 -1.027780377111318089e+00 -3.076800497469887929e+00
3.359999999999999876e+00 -9.971710111915743635e-01 -3.066664684665521001e+00
3.370000000000000107e+00 -9.654211549198150610e-01 -3.055054644161888433e+00
3.379999999999999893e+00 -9.325289442956666841e-01 -3.041884414621889743e+00
3.390000000000000124e+00 -8.984956045012147952e-01 -3.027067969060395214e+00
