Name: Double Pendulum Windowed Sine-feature PINN
Method: fixed sine-feature PINN; Levenberg-Marquardt; sequential windows
Data file: /Users/kien-macbook/Desktop/Github-Kien/PINNs/Double-Pendulum/double_pendulum_data.dat
Observed through: 4.99 s
Prediction end: 20.0 s
Data step: 10
Training samples: 51
Observation intervals per window: 1
Forecast evaluation interval: (4.99, 20.0] s
Seed: 0
Precision: torch.float64
Feature count: 16
Retained feature rank: 13
Forecast window: 0.025
Physics points: 33
Independent validation points: 66
Physics tolerance: 1e-10
Maximum evaluations per window: 200
Completed windows: 651
Training runtime: 00:00:04
Observed R2 theta1: 1.000000000
Observed R2 theta2: 1.000000000
R2 theta1 extrapolation: 0.680487661
R2 theta2 extrapolation: 0.002482432
Future reference labels are used for evaluation/plots only.
Observed windows assimilate measured boundary angles and estimate velocities.
Forecast boundaries inherit all four predicted state components, without measurement resets.

window start end observed evaluations data_loss validation_physics_loss optimizer_status
216 9.11500000 9.14000000 0 5 0.000000e+00 8.692381e-24 3
217 9.14000000 9.16500000 0 5 0.000000e+00 9.134316e-24 3
218 9.16500000 9.19000000 0 5 0.000000e+00 9.493770e-24 3
219 9.19000000 9.21500000 0 5 0.000000e+00 1.145644e-23 3
220 9.21500000 9.24000000 0 5 0.000000e+00 3.061892e-23 3
221 9.24000000 9.26500000 0 5 0.000000e+00 1.453007e-22 3
222 9.26500000 9.29000000 0 5 0.000000e+00 5.499245e-22 3
223 9.29000000 9.31500000 0 5 0.000000e+00 6.204572e-22 3
224 9.31500000 9.34000000 0 6 0.000000e+00 3.104308e-22 3
225 9.34000000 9.36500000 0 5 0.000000e+00 6.177924e-23 3
226 9.36500000 9.39000000 0 5 0.000000e+00 2.252417e-22 3
227 9.39000000 9.41500000 0 5 0.000000e+00 2.357426e-22 3
228 9.41500000 9.44000000 0 5 0.000000e+00 1.797939e-22 3
229 9.44000000 9.46500000 0 5 0.000000e+00 1.446115e-22 3
230 9.46500000 9.49000000 0 5 0.000000e+00 1.279727e-22 3
231 9.49000000 9.51500000 0 5 0.000000e+00 1.186582e-22 3
232 9.51500000 9.54000000 0 5 0.000000e+00 1.091229e-22 3
233 9.54000000 9.56500000 0 5 0.000000e+00 9.646747e-23 3
234 9.56500000 9.59000000 0 5 0.000000e+00 8.179696e-23 3
235 9.59000000 9.61500000 0 5 0.000000e+00 6.825671e-23 3
236 9.61500000 9.64000000 0 5 0.000000e+00 5.837132e-23 3
237 9.64000000 9.66500000 0 5 0.000000e+00 5.268379e-23 3
238 9.66500000 9.69000000 0 5 0.000000e+00 5.093721e-23 3
239 9.69000000 9.71500000 0 5 0.000000e+00 5.701355e-23 3
240 9.71500000 9.74000000 0 5 0.000000e+00 9.374961e-23 3
241 9.74000000 9.76500000 0 5 0.000000e+00 2.276125e-22 3
242 9.76500000 9.79000000 0 6 0.000000e+00 4.284171e-22 3
243 9.79000000 9.81500000 0 6 0.000000e+00 4.809236e-22 3
244 9.81500000 9.84000000 0 6 0.000000e+00 1.251185e-22 3
245 9.84000000 9.86500000 0 5 0.000000e+00 1.013916e-22 3
246 9.86500000 9.89000000 0 5 0.000000e+00 1.848439e-22 3
247 9.89000000 9.91500000 0 5 0.000000e+00 1.422859e-22 3
248 9.91500000 9.94000000 0 5 0.000000e+00 9.000940e-23 3
249 9.94000000 9.96500000 0 5 0.000000e+00 5.793722e-23 3
250 9.96500000 9.99000000 0 5 0.000000e+00 3.993869e-23 3
251 9.99000000 10.01500000 0 5 0.000000e+00 2.965314e-23 3
252 10.01500000 10.04000000 0 5 0.000000e+00 2.358951e-23 3
253 10.04000000 10.06500000 0 5 0.000000e+00 1.998495e-23 3
254 10.06500000 10.09000000 0 5 0.000000e+00 1.798980e-23 3
255 10.09000000 10.11500000 0 5 0.000000e+00 1.729312e-23 3
256 10.11500000 10.14000000 0 5 0.000000e+00 1.798439e-23 3
257 10.14000000 10.16500000 0 5 0.000000e+00 2.048036e-23 3
258 10.16500000 10.19000000 0 5 0.000000e+00 2.514450e-23 3
259 10.19000000 10.21500000 0 5 0.000000e+00 3.112665e-23 3
260 10.21500000 10.24000000 0 5 0.000000e+00 3.506802e-23 3
261 10.24000000 10.26500000 0 5 0.000000e+00 3.305783e-23 3
262 10.26500000 10.29000000 0 5 0.000000e+00 2.695113e-23 3
263 10.29000000 10.31500000 0 5 0.000000e+00 2.594371e-23 3
264 10.31500000 10.34000000 0 5 0.000000e+00 3.525172e-23 3
265 10.34000000 10.36500000 0 5 0.000000e+00 4.798979e-23 3
266 10.36500000 10.39000000 0 5 0.000000e+00 5.413043e-23 3
267 10.39000000 10.41500000 0 5 0.000000e+00 5.119639e-23 3
268 10.41500000 10.44000000 0 5 0.000000e+00 4.315925e-23 3
269 10.44000000 10.46500000 0 5 0.000000e+00 3.514898e-23 3
270 10.46500000 10.49000000 0 5 0.000000e+00 3.131834e-23 3
271 10.49000000 10.51500000 0 5 0.000000e+00 1.987689e-23 3
272 10.51500000 10.54000000 0 5 0.000000e+00 3.637442e-23 3
273 10.54000000 10.56500000 0 6 0.000000e+00 2.986056e-19 3
274 10.56500000 10.59000000 0 6 0.000000e+00 1.402058e-18 3
275 10.59000000 10.61500000 0 6 0.000000e+00 7.458446e-21 3
276 10.61500000 10.64000000 0 5 0.000000e+00 2.792949e-22 3
277 10.64000000 10.66500000 0 5 0.000000e+00 8.343090e-22 3
278 10.66500000 10.69000000 0 5 0.000000e+00 4.144055e-22 3
279 10.69000000 10.71500000 0 5 0.000000e+00 1.928218e-22 3
280 10.71500000 10.74000000 0 5 0.000000e+00 1.019029e-22 3
281 10.74000000 10.76500000 0 5 0.000000e+00 6.093827e-23 3
282 10.76500000 10.79000000 0 5 0.000000e+00 4.036241e-23 3
283 10.79000000 10.81500000 0 5 0.000000e+00 2.958343e-23 3
284 10.81500000 10.84000000 0 5 0.000000e+00 2.472966e-23 3
285 10.84000000 10.86500000 0 5 0.000000e+00 2.371048e-23 3
286 10.86500000 10.89000000 0 5 0.000000e+00 2.379602e-23 3
287 10.89000000 10.91500000 0 5 0.000000e+00 2.216575e-23 3
288 10.91500000 10.94000000 0 5 0.000000e+00 1.852539e-23 3
289 10.94000000 10.96500000 0 5 0.000000e+00 1.498220e-23 3
290 10.96500000 10.99000000 0 5 0.000000e+00 1.294947e-23 3
291 10.99000000 11.01500000 0 5 0.000000e+00 1.202976e-23 3
292 11.01500000 11.04000000 0 5 0.000000e+00 1.140082e-23 3
293 11.04000000 11.06500000 0 5 0.000000e+00 1.072871e-23 3
294 11.06500000 11.09000000 0 5 0.000000e+00 1.003823e-23 3
295 11.09000000 11.11500000 0 5 0.000000e+00 9.428908e-24 3
296 11.11500000 11.14000000 0 5 0.000000e+00 8.957380e-24 3
297 11.14000000 11.16500000 0 5 0.000000e+00 8.638158e-24 3
298 11.16500000 11.19000000 0 5 0.000000e+00 8.461403e-24 3
299 11.19000000 11.21500000 0 5 0.000000e+00 8.409939e-24 3
300 11.21500000 11.24000000 0 5 0.000000e+00 8.475850e-24 3
301 11.24000000 11.26500000 0 5 0.000000e+00 8.711229e-24 3
302 11.26500000 11.29000000 0 5 0.000000e+00 9.558797e-24 3
303 11.29000000 11.31500000 0 5 0.000000e+00 1.388337e-23 3
304 11.31500000 11.34000000 0 5 0.000000e+00 3.357534e-23 3
305 11.34000000 11.36500000 0 5 0.000000e+00 8.703221e-23 3
306 11.36500000 11.39000000 0 5 0.000000e+00 1.473249e-22 3
307 11.39000000 11.41500000 0 5 0.000000e+00 1.199301e-22 3
308 11.41500000 11.44000000 0 5 0.000000e+00 4.384545e-23 3
309 11.44000000 11.46500000 0 5 0.000000e+00 5.014578e-23 3
310 11.46500000 11.49000000 0 5 0.000000e+00 8.302557e-23 3
311 11.49000000 11.51500000 0 5 0.000000e+00 8.335818e-23 3
312 11.51500000 11.54000000 0 5 0.000000e+00 7.186454e-23 3
313 11.54000000 11.56500000 0 5 0.000000e+00 6.302897e-23 3
314 11.56500000 11.59000000 0 5 0.000000e+00 5.801041e-23 3
315 11.59000000 11.61500000 0 5 0.000000e+00 5.490242e-23 3
316 11.61500000 11.64000000 0 5 0.000000e+00 5.219825e-23 3
317 11.64000000 11.66500000 0 5 0.000000e+00 4.949971e-23 3
318 11.66500000 11.69000000 0 5 0.000000e+00 4.723967e-23 3
